Yaw(Z),Pitch(X),Roll(Y),DeltaTime(ns)
0.26520258,359.95483,0.2658698,3.9737492E7
0.44954938,359.9786,0.3456191,2.11506E7
0.50637656,0.092672005,0.27618766,1007172.0
0.54361475,0.22609976,0.11861563,1.7915444E7
0.634429,0.24608488,0.07038339,2.0723318E7
0.9473063,0.24822956,0.30028287,1.91973E7
1.30111,0.27161613,0.6129361,2.4233158E7
1.4295039,0.2687338,0.71870494,1.73966E7
1.5313967,0.23297775,0.8298705,2.1638932E7
1.620763,0.15607665,0.94746333,2.0936964E7
1.782775,0.046766303,1.1408845,2.066228E7
1.9965873,359.99887,1.3774391,2.0204476E7
1.918846,0.060392532,1.3236693,1.7976488E7
1.4895686,0.09845035,0.95522076,2.0296038E7
1.2099954,5.05434E-4,0.7346547,2.5820222E7
1.2098451,359.88718,0.8377402,1.6114748E7
1.3884135,359.8983,1.0466684,1.88921E7
1.4765229,359.95316,1.0641687,6.6656464E7
1.5411775,359.9851,1.0475572,3326719.0
1.6072664,359.98682,1.0579916,7355407.0
1.4918499,0.023550492,0.8372753,2716312.0
1.6245878,0.010013057,0.9626264,2.551502E7
1.7878293,359.99774,1.1396503,1556539.0
1.9063878,0.024301814,1.2423303,3.0093074E7
1.9758917,0.03169891,1.3065435,2.289027E7
2.1408272,0.0064955098,1.570141,1.8922624E7
2.2618582,0.12018401,1.8119673,1.8312216E7
2.2445776,0.27608308,1.8784386,2.0326562E7
2.1544056,0.43195483,1.8433703,1.9655114E7
2.0024338,0.5092657,1.7165833,3.4030204E7
1.8722368,0.5644468,1.6190891,1.1078892E7
1.8520604,0.65327346,1.6667689,1.861742E7
1.8857332,0.72449183,1.77799,4303372.0
1.9561661,0.8761357,1.9632986,1.1719819E7
1.9401972,1.1924281,2.0284393,2.1455816E7
1.786996,1.5510745,1.9178718,2.1455816E7
1.6035372,1.9682624,1.7455252,1.852586E7
1.4235207,2.3562582,1.5728184,1.8831064E7
1.2860837,2.9058697,1.4795406,2.00824E7
1.2824227,3.500192,1.5542066,2.005188E7
1.4984615,4.2732463,1.7847719,2.0357084E7
1.6698856,5.1940036,1.8113768,2.00824E7
1.8104646,5.9643054,1.8155377,2.1455816E7
2.178448,7.0387697,2.0966218,1.9502514E7
2.7310548,8.153524,2.5919113,2.0448644E7
3.4944513,9.457859,3.0894325,2.0479164E7
4.1154523,10.832809,3.397097,1.7945976E7
4.4118824,11.768559,3.4897234,2.1394776E7
4.6659107,12.990972,3.562003,1.6877762E7
4.9381347,14.494747,3.6709318,2.249351E7
5.3225923,16.283854,3.891222,1.8556384E7
5.7023234,18.16581,4.211036,1.831222E7
6.07058,19.439415,4.833002,2.0631768E7
6.2529736,21.253223,5.307667,2.0082404E7
6.534377,23.09801,5.593523,1.9563556E7
6.837638,24.968922,5.913523,2.2005186E7
7.233297,27.048779,6.5573087,1.99298E7
7.48962,28.871086,6.948386,2.0448648E7
7.656769,31.64243,7.004663,2.0814892E7
7.6014714,34.68172,6.529071,2.0845412E7
7.345913,38.045994,5.9382787,1.986876E7
7.39979,41.090923,5.684422,2.0845412E7
7.7085686,42.770615,5.6738844,4181291.0
7.900798,44.41227,5.5754805,3.4121772E7
8.056308,45.93387,5.7175503,2.481306E7
8.230231,48.004086,5.8991165,2.7285208E7
8.465136,50.62169,6.0300617,6806042.0
8.823201,52.95652,6.028118,1983824.0
9.149302,56.375793,5.7475905,2.0845412E7
9.240663,59.41725,5.4548697,1.733557E7
9.259076,61.72161,5.2814984,2.0173964E7
9.286069,63.657444,5.2614317,2.0204484E7
9.34929,65.281975,5.115081,1.9288872E7
9.552174,67.3688,4.8617144,2.2981838E7
9.83019,68.89347,4.6741815,1.8342742E7
10.044658,69.91966,4.5618534,1.9594076E7
10.192299,70.91043,4.622533,2.0021362E7
10.231094,71.72086,4.739551,1.9349914E7
10.294861,72.85668,4.8365893,2.2432472E7
10.409772,73.72079,4.815624,1.8647944E7
10.537333,74.0821,4.682537,1.9563556E7
10.575554,74.23031,4.6442733,1.9929802E7
10.596209,74.35703,4.6473618,1.9533038E7
10.597902,74.47854,4.6614122,2.9726842E7
10.533589,74.47417,4.7343764,1.9014192E7
10.420263,74.39005,4.8169284,1.0804211E7
10.329394,74.3668,4.854497,2.3622768E7
10.2755995,74.34558,4.8800445,2.1883108E7
10.184458,74.21963,4.9643674,1.5260186E7
10.087497,73.9738,5.0977283,1.8953152E7
9.980181,73.73651,5.233028,1.9380436E7
9.878848,73.46948,5.359241,2.1577904E7
9.805055,73.20617,5.4431286,1.9044712E7
9.704733,72.717834,5.583929,2.215779E7
9.585176,72.06174,5.804018,1.8495346E7
9.493707,71.59369,5.9687977,1.9380436E7
9.467479,71.340614,6.016944,2.2493514E7
9.46043,71.134254,6.0039077,2166946.0
9.425514,70.703316,5.9676986,3.7082252E7
9.383986,70.09063,5.9206233,2.0143446E7
9.341257,69.49249,5.921454,1.9319396E7
9.305658,68.8943,5.9055686,2.1638944E7
9.270278,68.30187,5.853425,5707310.0
9.219133,67.09245,5.90889,1.6114756E7
9.140121,65.65441,5.9329386,1.721349E7
9.06641,64.61705,5.8643174,2.218831E7
9.065591,63.60661,5.894897,1.9166792E7
9.112255,62.390438,6.048954,1.9105752E7
9.1651745,59.89985,6.2863855,1.883107E7
8.988546,56.968075,6.1431937,2.0631772E7
8.6934,54.76,5.716945,2.2005188E7
8.490871,53.265526,5.4451647,1.8647948E7
8.347437,51.968307,5.353056,1.9471996E7
8.139062,49.903526,5.2117343,2.1608424E7
7.863587,47.494095,5.064837,1.8129102E7
7.502516,44.82374,5.0709047,2.1699984E7
7.086967,41.82211,5.169223,1.974668E7
6.790373,39.60081,5.054115,1.7732336E7
6.6009855,37.099617,4.873708,2.2279872E7
6.478725,34.66815,4.8763275,1.8770028E7
6.2232485,31.601496,5.252726,2.0998016E7
6.0385056,28.310438,5.473996,1.8708988E7
5.997497,26.067581,5.3709702,1.8922632E7
6.095005,23.11865,5.12207,2.2737676E7
5.940697,19.600088,4.796945,1.7915458E7
5.609597,15.556548,4.6601834,2.0936976E7
5.0186763,11.460149,4.1964955,1.9044712E7
4.4526997,8.899231,3.499129,1.971616E7
3.6313558,6.3836927,2.3850787,2.2493514E7
3.419975,5.130845,1.9926193,1.9105752E7
3.4063146,4.379292,1.9096633,1.968564E7
3.3764257,3.2577338,1.762056,2.148634E7
3.094421,2.0584414,1.2264138,5127423.0
2.727503,0.6028598,0.436616,1.1628262E7
2.5163136,359.62387,0.10796395,2.2096748E7
2.2920613,359.01248,0.096494354,3.8974516E7
2.0117776,358.70944,359.95306,2.0936976E7
1.8524976,358.67737,359.68546,2136426.0
1.5832379,358.63272,359.19632,1.5840073E7
1.2651013,358.27365,358.89496,2.2096748E7
0.847845,357.7273,358.69363,1.8556388E7
0.093600914,357.21072,358.12683,2.0265528E7
359.6055,356.99008,357.7567,1.9441476E7
359.512,357.02182,357.75778,2.2096748E7
359.53574,357.17993,357.76016,2.1883106E7
359.2162,357.23862,357.3966,1.806806E7
358.57205,357.25696,356.75266,2.0326568E7
358.0097,357.2819,356.19113,1.721349E7
357.22845,357.50482,355.30777,2.0662292E7
356.26486,357.90128,354.11957,2.4202656E7
354.7188,358.34912,352.26932,1.733557E7
352.38095,358.80203,349.64682,2.0326568E7
350.0905,359.0854,347.2149,1.7915458E7
346.07028,359.43616,343.00543,2.0143446E7
341.5842,359.9867,338.29758,2.0173966E7
337.3274,0.92203456,333.83066,2.1822066E7
333.4283,2.1259716,329.8157,2.0479168E7
330.48254,3.0350971,326.8741,1.791546E7
326.37683,4.203278,322.88696,2.30734E7
322.22684,5.4269953,318.78964,1.7396612E7
318.29895,6.7954783,314.70444,1.8953152E7
314.7836,8.248342,310.96384,2.96658E7
312.36612,9.447614,308.40466,2075386.0
309.0352,11.282858,305.0735,3.0672972E7
306.11115,13.243094,302.30136,1.7274532E7
303.78348,15.375978,300.06604,2.0051884E7
301.32388,17.55959,297.72806,1.9533038E7
299.10428,19.154972,295.6815,1648100.0
296.10104,21.326862,292.94598,4.2118112E7
293.48615,23.625778,290.6437,9247673.0
291.6198,25.885899,289.16364,1.1353578E7
290.1437,27.744003,287.94846,1.5687471E7
289.09085,28.99063,286.97424,1.9319396E7
287.9937,30.5948,285.78873,1.9258354E7
287.66193,32.159477,285.20734,2.8139784E7
288.18918,33.535656,285.2579,1.2940637E7
288.43607,34.758476,285.0421,2.0204486E7
287.9855,35.625355,284.49976,2.0326568E7
287.13596,36.678696,283.63278,1.96246E7
286.63214,37.71127,282.93884,2.289028E7
286.5253,38.593773,282.5884,1.7640776E7
286.43768,39.361267,282.26633,1.974668E7
286.27283,39.953007,281.87372,2.057073E7
286.18222,40.788563,281.48825,1.9044712E7
286.39648,41.625675,281.42914,2.2615596E7
286.594,42.43285,281.40454,1.7823896E7
286.68005,43.149696,281.327,2.0753852E7
286.81348,43.602604,281.24557,1.9838242E7
287.0812,43.994,281.21674,1.9380436E7
287.17258,44.053905,281.28354,2.130322E7
286.94208,43.890877,281.36896,2.1181138E7
286.72433,43.635426,281.4197,2.0112924E7
286.5854,43.41671,281.42764,1.9258356E7
286.41144,43.069695,281.42715,1.8831068E7
286.3271,42.704018,281.46207,2.0235008E7
286.40875,42.317867,281.67102,2.0692812E7
286.64774,41.79882,282.082,2.0662292E7
286.91815,41.21213,282.52402,1.9319396E7
287.33807,40.015064,283.23065,2.14253E7
287.51736,38.318134,283.8998,1.809858E7
287.426,36.46522,284.6747,2.054021E7
287.4184,34.53078,285.42203,2.2066228E7
287.44406,32.946552,285.6911,3174119.0
287.77466,30.509857,285.82077,1.6145277E7
288.32986,27.962511,286.00854,1.79765E7
289.01065,25.50955,286.40927,2.1944148E7
290.06412,23.243725,287.085,1.803754E7
291.5012,21.602716,288.03528,1.9471998E7
294.05984,19.593012,289.98813,2.0662292E7
296.68265,17.661367,292.56708,1.9410956E7
299.7292,15.871372,296.0905,2.2401952E7
304.37936,14.18661,301.24814,2.145582E7
308.68716,12.990733,305.67984,1.8556388E7
313.7556,11.474431,310.58536,1.809858E7
318.14493,9.850936,314.89728,1.9960324E7
324.0735,8.427907,320.94592,2.1638944E7
331.9887,7.705041,329.24664,2.0875934E7
338.53018,7.4057283,336.127,1.8312224E7
346.4483,6.837955,344.4955,1.9441476E7
353.33347,6.176151,351.68878,1.9929804E7
359.14493,5.863178,357.77252,2.624752E7
3.001339,5.704096,1.91957,1.5748511E7
4.7117276,5.5144486,3.7146547,1.9288876E7
6.4561033,5.330901,5.309206,1.809858E7
7.1103535,5.3994217,5.534991,1.9838242E7
